BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
NonResidential,K-12 School,3,EAST,47.62548,-122.30828,1.0,3,11.123476412370751,0,67743,14.788891768037471,4.367547313409047,1,0.0,1.0,1.0,93,22581.0,67743.0
NonResidential,K-12 School,3,EAST,47.62644,-122.30429,1.0,6,12.176149376878815,0,194104,15.64325498207557,5.494007497747535,1,0.0,1.0,1.0,108,32350.666666666668,194104.0
NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,47.58408,-122.30125,1.0,3,11.507239329499242,35752,63681,15.404288515702062,3.5304697173662944,2,0.35955869781662025,0.6404413021833798,0.6404413021833798,13,21227.0,49716.5
SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.56413,-122.31208,1.0,1,11.781898611816032,0,130862,15.680524516185274,5.474285449369816,1,0.0,1.0,1.027387629716801,59,130862.0,130862.0
SPS-District K-12,K-12 School,2,SOUTHEAST,47.55478,-122.27596,1.0,3,11.001349559813534,0,59955,14.306173907268796,3.019448800171307,1,0.0,1.0,1.0,27,19985.0,59955.0
SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.63683,-122.35896,1.0,2,11.442696115073106,0,93218,14.875864230515289,4.43970574626056,1,0.0,1.0,1.0,52,46609.0,93218.0
NonResidential,Other,4,NORTHEAST,47.67524,-122.31534,1.0,4,10.942367529494035,0,56521,15.665166538941357,3.7914360424390283,1,0.0,1.0,0.8669344137577184,75,14130.25,56521.0
NonResidential,Other,4,NORTHEAST,47.67559,-122.31769,1.0,2,12.240155180827331,0,206934,15.263270951521262,4.89470054929749,2,0.0,1.0,0.5757681193037394,87,103467.0,103467.0
NonResidential,Hotel,5,NORTHWEST,47.73141,-122.3458,1.0,4,10.847198879986275,0,51390,15.099644278361474,4.846467947882343,2,0.0,1.0,1.0,15,12847.5,25695.0
SPS-District K-12,K-12 School,5,NORTHWEST,47.72463,-122.35315,1.0,2,11.78305183390088,0,131013,15.175097556372132,4.827673532414877,1,0.0,1.0,1.0068390159755138,53,65506.5,131013.0
SPS-District K-12,K-12 School,5,NORTHWEST,47.7257,-122.33684,1.0,1,12.411406542258106,0,245587,16.280697547014274,6.095216269351388,1,0.0,1.0,1.0,57,245587.0,245587.0
NonResidential,Hotel,5,NORTHWEST,47.72551,-122.3423,1.0,3,11.14385978624207,0,69138,14.991842242120457,4.488861063587708,1,0.0,1.0,1.0212762880037027,14,23046.0,69138.0
NonResidential,Hotel,7,DOWNTOWN,47.6048,-122.3368,1.0,5,12.159923989504193,0,190980,15.688234617493773,4.958569771792903,2,0.0,1.0,1.0,112,38196.0,95490.0
Nonresidential COS,Other,7,DOWNTOWN,47.60804,-122.3367,1.0,6,12.55708156784228,0,284100,16.499370656863285,6.0617366000933135,1,0.0,1.0,0.6678986272439282,18,47350.0,284100.0
NonResidential,Hospital,6,BALLARD,47.66737,-122.37956,4.0,5,12.561412198230787,0,285333,18.036351609133526,7.596141142440372,2,0.0,1.0,1.0607290429077605,62,57066.6,142666.5
SPS-District K-12,K-12 School,6,Ballard,47.6706,-122.36225,1.0,2,10.924372506540205,0,55513,14.22998215230444,2.3561258599220753,1,0.0,1.0,1.0645614540738206,25,27756.5,55513.0
Nonresidential COS,Other,2,DOWNTOWN,47.60112,-122.32785,1.0,4,11.021183255680505,0,61156,16.052316253585513,5.174736304776682,2,0.0,1.0,0.6991137419059454,10,15289.0,30578.0
